,,,,,,,,,,,,,,,,,,,
국가,제목,전시 정보,설명,작가명,전시 시작,전시 종료,국가,지역,장소(건물명),장르,전시 스타일,예약링크,전시 상세 링크,위도,경도,전화번호,영업시간,가격,주소
,Mapping the 60s – Focus 2,"2024년 12월 5일 ~ 2026년 5월 10일, MUMOK, 비엔나","이 전시는 1960년대 유럽과 미국을 중심으로 전개된 예술적 혁신과 사회 변화를 탐구한다. 플럭서스(Fluxus), 누보 레알리슴(Nouveau Réalisme), 해프닝(Happening), 비엔나 액셔니즘(Vienna Actionism) 등 당대의 주요 예술운동을 중심으로, 예술이 어떻게 전통적 체계에서 벗어나 새로운 사회적 관계를 만들어냈는지를 조명한다.

1960년대는 냉전, 소비사회, 급진적 정치운동이 공존한 격동의 시기였다. 이 시기 예술가들은 회화와 조각이라는 고정된 틀에서 벗어나 신체와 행위, 시간과 과정을 작품의 중심으로 끌어올렸다. 관객의 참여, 우연의 개입, 일상의 재료 사용 등은 예술과 삶의 경계를 허물며, 새로운 미학적 언어를 만들어냈다.

전시는 MUMOK의 소장품을 중심으로 구성되며, 요셉 보이스, 이브 클랭, 아르망, 앨런 카프로, 귄터 브루스 등 대표 작가들의 주요 작품을 포함한다. 각 섹션은 예술의 탈제도화, 신체의 정치학, 예술과 사회의 재구성이라는 세 가지 축을 따라 구성되어, 예술이 사회 변혁의 언어로 작동한 방식을 시각적으로 풀어낸다.

이번 전시는 1960년대 예술이 단순한 형식의 혁신이 아닌, 시대정신(Zeitgeist)과 인간 존재의 근본적 탐구였음을 보여주며, 오늘날 동시대 예술의 기반이 된 급진적 실험 정신을 다시금 되새기게 한다.","Eric Andersen, George Maciunas 외",12/5/24,5/10/26,오스트리아,비엔나,MUMOK,"현대미술, 근대 미술","공간 연출형, 퍼포먼스형","1960년대 포커스, 플럭서스, 뉴 레알리슴, 해프닝 등 혁명적 미술 운동 중심, 퍼포먼스·행동 예술과 정치사회적 쟁점 강조",https://www.mumok.at/en/visit/tickets-opening-hours,https://www.mumok.at/en/exhibitions/mapping-the-60s-focus-2,48.1985,16.3609,43 1 52500,화~일 10~18시,
,Claudia Pages Rabal,"전시 기간 미정, MUMOK, 비엔나","이번 전시는 시각 예술가이자 퍼포머, 작가로 활동하는 클라우디아 파헤스 라발(Claudia Pagès Rabal)의 새로운 프로젝트를 선보인다. 그녀는 언어, 신체, 음악을 매개로 사회적 계층, 소속감, 퀴어 정체성, 욕망의 구조를 탐구해 온 작가로, 이번 전시에서는 이베리아 반도 알안달루스 시대의 문화적 경계와 카탈로니아 내륙의 방어탑을 주요 모티프로 삼는다.

비디오, 안무, 조명, 사운드 설치가 결합된 다층적 퍼포먼스 형식의 신작은 국가 정체성, 정치적 권력 구조, 식민주의 역사 지우기라는 복합적 주제를 시각적으로 재현한다. 작품은 언어가 어떻게 지배와 배제, 그리고 기억의 매개가 되는지를 보여주며, 몸의 움직임과 리듬을 통해 사회적 관계의 경직된 질서를 해체하고 재구성한다.

파헤스 라발의 작업은 역사적·지리적 경계를 신체의 감각적 언어로 변환하며, 관객으로 하여금 정체성과 소속의 개념을 새롭게 사유하게 한다. 공간 전체가 하나의 무대이자 사운드 필드로 작동하며, 빛과 음향의 변화 속에서 기억, 권력, 언어가 얽히는 서사를 체험할 수 있다.",Claudia Pages Rabal,12/4/25,5/31/26,오스트리아,비엔나,MUMOK,현대 미술,미디어 아트,"디지털 매체와 시각예술 결합, 여성주의적 관점과 사회문화적 메시지 반영(정보 제한으로 상세 불가)",https://www.mumok.at/en/visit/tickets-opening-hours,https://www.mumok.at/en/exhibitions/claudia-pages-rabal,48.1985,16.3609,43 1 52500,화~일 10~18시,
일본,롯폰기 크로싱 2025전:시간은 지나가고 우리는 영원하다. (六本木クロッシング2025展：時間は過ぎ去る わたしたちは永遠),"최신 일본 현대미술 흐름을 집대성하는 삼년 주기 그룹전, 시간 개념을 중심으로 여러 장르의 크리에이터 총 21팀 작품 집합","이번 전시는 ‘시간은 지나가고, 우리는 영원하다(Time Passes, We Remain)’라는 주제를 중심으로, 일본에서 활동하거나 일본에 뿌리를 둔 21팀의 아티스트가 참여한 대규모 기획전이다. 회화, 조각, 영상, 공예, 자수, 사운드 아트, ZINE, 커뮤니티 프로젝트 등 시대와 장르의 경계를 초월한 예술적 스펙트럼을 선보이며, 동시대 일본 미술의 다양성과 잠재력을 총체적으로 보여준다.

전시는 인간의 시간, 기억, 공동체, 물질성을 탐구하며, 몰입형 설치 작품과 색채 도자, 사운드 기반 작업, 자수와 섬유예술, 퍼포먼스형 오브제 등이 어우러져 하나의 감각적 세계를 구성한다. 각 작품은 과거의 유산과 현재의 기술, 지역성과 글로벌 감각이 교차하는 지점에서 새로운 예술적 언어를 구축한다.

참여 작가들은 개인적 서사와 사회적 맥락을 넘나들며, **‘변화하는 시간 속에서도 지속되는 인간의 감정과 기억’**을 주제로 각기 다른 방식으로 응답한다. 일부 작품은 관람객의 참여와 상호작용을 통해 완성되는 구조로 설계되어, 시간의 흐름과 공동체적 체험이 예술의 일부로 녹아든다.

이번 전시는 일본 현대미술의 세대 간 대화이자, 지역성과 세계적 동향이 공존하는 문화적 교차점을 제시한다. 국내외 큐레이터의 공동 기획을 통해, 전시는 일본 예술이 지닌 감각적 섬세함과 실험적 도전정신을 입체적으로 드러내며, 시간이 지나도 사라지지 않는 예술의 지속성과 인간 존재의 흔적을 사유하게 한다.","A.A.Murakami, 桑田卓郎, 細井美裕, 沖潤子 외 21팀",12/3/25,3/29/26,일본,도쿄,"Mori Art Museum
모리 미술관(롯폰기 힐즈 모리 타워 53층)",현대미술,공간 연출형,"시간의 흐름과 다양한 시간 개념 탐구, 일본 현대미술 작가 21인의 작품을 통해 감각적·철학적 몰입 경험 제공",https://art-view.roppongihills.com/jp/info/#tickets,https://www.mori.art.museum/jp/exhibitions/roppongicrossing2025/index.html,35.6605,139.7292,050-5541-8600,"월,목~일 10시~22시 (입장마감 21시 30분)
금 10시~17시",
,론 뮤익 전 (ロン・ミュエク展),인체 조각의 물리적/심리적 한계와 내면 감성·상징성 집중 탐구하는 대규모 개인전,"이번 전시는 영국에 거주하는 호주 출신 조각가 론 미유엑(Ron Mueck)의 초현실적 인체 조각 10점을 중심으로 구성된다. 미유엑은 실재的人의 몸을 극도로 정교하게 재현하면서도, 실물보다 지나치게 크거나 혹은 현저히 작은 비율로 조정된 인체를 통해 인간 존재의 내면을 탐구하는 작가로 잘 알려져 있다.

전시장에는 그의 초기 작업부터 최신 설치까지 망라된 작품들이 소개되며, 피부의 주름, 모공, 혈색, 눈동자의 습도까지 섬세하게 구현된 조각들이 고독, 불안, 침묵, 존재감과 같은 감정적 깊이를 시각적으로 드러낸다. 이러한 비례의 변주는 단순한 형식적 실험이 아니라, 관람객에게 지각·감정·관계의 본질에 대한 질문을 던지도록 하는 장치로 작동한다.

전시는 사진작가이자 영화감독인 고티에 드블론드(Gautier Deblonde)의 스튜디오 촬영 사진 및 제작 과정 영상과도 연계된다. 드블론드의 작업은 미유엑 조각의 탄생 배경과 조형적 의도를 기록하며, 작가의 작업실 환경, 재료와 기법, 모델링 과정 등 미유엑의 조각이 어떻게 ‘살아 있는 몸’으로 완성되는지에 대한 독창적 시각을 제공한다.

관람객은 이 전시를 통해 미유엑 조각의 외형적 충격감뿐 아니라, 몸이라는 매개를 통해 드러나는 인간의 연약함, 정서의 흔들림, 존재의 무게를 깊이 있게 체감하게 된다. 작품은 말없이 서 있지만, 그 침묵 속에서 인간에게 가장 근원적인 감정과 질문이 드러난다.

본 전시는 론 미유엑의 조각 언어를 심도 있게 이해할 수 있는 결정적 기회이자, 현대 인체 조각이 어디까지 확장될 수 있는지를 보여주는 중요한 자리다.",Ron Mueck,4/29/26,9/23/26,일본,도쿄,"Mori Art Museum
모리 미술관(롯폰기 힐즈 모리 타워 53층)","조각 미술, 설치미술",공간 연출형,"초대형 현실주의 조각, 인간 내면과 생명력 묘사, 관객과 정서적 교감 유도",https://art-view.roppongihills.com/jp/info/#tickets,https://www.mori.art.museum/jp/exhibitions/ronmueck/index.html,35.6605,139.7292,050-5541-8600,월~일 10:00~22:00 (입장마감 21:30),
,모리미술관 《모리 마리코전》(森美術館「森万里子展」),"일본 현대미술에서 과학, 우주, 생명, 시간의 본질을 테마로 한 미디어아트 및 설치 대규모 개인전","이번 전시는 마리코 모리의 최신작을 중심으로 구성된 초현대 미디어아트 개인전으로, 우주와 생명에 대한 철학적 성찰을 첨단 기술과 결합해 시각화한다. 모리는 빛과 음향, 동적인 오브제, 인터랙티브 장치를 활용해 과학과 영적 탐구, 자연과 인공, 시간과 공간의 경계를 유연하게 넘나든다.

전시 공간에는 대형 인터랙티브 오브제와 몰입형 퍼포먼스형 설치가 배치되며, 관람객은 움직임과 소리, 빛의 변화에 반응하는 작품 속에서 직접 감각적으로 참여하게 된다. 이는 우주의 생성과 순환, 생명 현상의 미세한 움직임을 체험적으로 이해하도록 유도하며, 기술적 실험성과 휴머니즘적 사유가 결합된 모리 특유의 미학을 보여준다.

전시는 단순히 미래적 이미지를 제시하는 것을 넘어, 인간이 우주와 자연 속에서 어떤 존재로 위치하는지에 대한 질문을 던지며, 감각적 몰입과 철학적 성찰이 공존하는 시각예술 세계를 선사한다.",Mariko Mori,10/31/26,3/28/27,일본,도쿄,"Mori Art Museum
모리 미술관(롯폰기 힐즈 모리 타워 53층)","미디어/디지털 아트, 설치 미술, 현대미술","공간 연출형, 미디어 아트, 몰입형","인터랙티브 설치, 조각, 사진, 영상, 퍼포먼스 등 다양한 매체 혼합, 인간과 생태학적 주제 반영",https://art-view.roppongihills.com/jp/info/#tickets,https://www.mori.art.museum/jp/exhibitions/marikomori/index.html,35.6605,139.7292,050-5541-8600,월~일 10:00~22:00 (입장마감 21:30),
,도쿄국립근대미술관 소장품전 MOMAT 컬렉션) (所蔵作品展 MOMATコレクション),20세기 일본 근대미술 작품을 중심으로 한 도쿄 국립근대미술관 상설 소장품 전시,"이번 소장품 전시는 도쿄 국립근대미술관이 보유한 주요 작품들을 2층에서 4층까지 층별로 소개하며, 일본 근대와 현대 예술의 흐름을 폭넓게 조망하는 구성으로 이루어진다. 회화와 조각을 비롯해 공예, 디자인, 사진 등 다양한 매체가 포함되어 있어 시대적 변화와 예술적 사조의 전개를 균형 있게 살펴볼 수 있다.

근대화 초기의 작품부터 전후 미술, 현대 작가들의 실험적 작업까지 이어지는 전시 흐름은 일본 미술사가 어떻게 확장되고 변모해 왔는지를 자연스럽게 보여준다. 각 층은 시대별 혹은 테마별로 구성되어 있어 관람객은 매체의 차이뿐 아니라 표현 방식과 미학적 관점의 변화를 입체적으로 체험할 수 있다.

전시 운영 일정은 월별 휴관일과 개관 시간이 변동될 수 있어 방문 전 확인이 필요하며, 안정적인 관람 환경을 위해 사전 안내를 준수해야 한다. 이번 전시는 도쿄 국립근대미술관이 오랜 시간 축적해 온 소장품을 통해 일본 예술의 역사적 깊이와 폭넓은 표현 세계를 체감할 수 있는 기회를 제공한다.",다수 작가,11/5/25,2/8/26,일본,도쿄,도쿄 국립 근대 미술관 소장품 갤러리(4~2층),근대 미술,공간 연출형,"일본 근현대 미술 약 200점 전시, 미술사적 흐름과 주제별 구성",https://www.momat.go.jp/tickets,https://www.momat.go.jp/exhibitions/r7-2,35.6692,139.7142,050-5541-8600,"월 휴관
10시~17시 
금,토 10시~ 20시",
,"안티 액션 그녀들, 각자의 응답과 도전 (アンチ・アクション 彼女たち、それぞれの応答と挑戦)",1950~60년대 일본 여성 전위미술가들의 활동 재조명하는 주제별 반추 기획전,"본 전시는 전후 일본 미술사에서 'Anti-Action'이라 불렸던 여성미술가(두각을 나타냈던 14명)를 재조명한다. 강렬한 액션 페인팅 유행 후 무관심 속에 사라진 여성 예술가들의 독특한 실험과 창작 세계를 조명하며 젠더 관점에서 분석, 기존 남성 중심 미술사와의 상반성을 탐구한다. 작가별 초기 미공개 작품 포함, 입체적 전시로 동시대 미술사 재해석을 유도한다.","草間彌生, 田中敦子, 赤穴桂子 외",12/16/25,2/8/26,일본,도쿄,도쿄 국립근대미술관,근대 미술,공간 연출형,"여성 미술가들의 아크리텔로 운동 대응, 신체성과 감정 표현에 집중",https://www.momat.go.jp/tickets,https://www.momat.go.jp/exhibitions/566,35.6692,139.7142,050-5541-8600,"월 휴관
10시~17시 
금,토 10시~ 20시",
,시모무라 간잔 전 (下村観山展),일본 근대회화 1세대 거장 下村観山 회고전,"이번 전시는 전후 일본 미술사에서 상대적으로 조명되지 못했던 여성 예술가들을 다시 바라보는 기획전으로, 당시 비평가들이 ‘Anti-Action’이라 불렀던 작가 14명의 작업 세계를 집중적으로 다룬다. 액션 페인팅이 강렬하게 주목받던 시대적 흐름 속에서 주변부로 밀려난 여성 작가들의 실험적 시도와 독창적 표현을 발굴해, 전후 미술의 또 다른 지층을 드러낸다.

참여 작가들은 회화와 조각은 물론 텍스타일, 오브제, 퍼포먼스적 요소가 가미된 실험적 작업까지 폭넓게 남겼으며, 기존의 남성 중심 서사와 다른 방식으로 감각과 행위를 탐구했다. 억압된 사회적 환경 속에서도 자신만의 시각 언어를 구축하며 새로운 표현 방식을 시도한 이들의 작품은, 단지 시대의 변두리에 있었던 것이 아니라 전후 미술의 또 다른 가능성을 제시한 흐름으로 재평가된다.

전시에서는 초기 미공개 작품을 포함한 다수의 자료가 공개되며, 작가별 조형세계와 사고의 전개 과정을 입체적으로 보여준다. 이를 통해 관람객은 전후 일본 미술의 역사가 단일한 메인 서사로 구성되지 않았음을 인식하게 되며, 젠더 관점에서 미술사를 다시 읽는 계기를 마련한다.

본 전시는 그동안 간과되어 온 여성 예술가들의 목소리를 복원하고, 일본 현대미술에서의 위치와 의미를 새롭게 조명하는 중요한 시도이다.",下村観山,3/17/26,5/10/26,일본,도쿄,도쿄 국립근대미술관,"근대 미술, 회화",공간 연출형,"일본 근대 회화 거장, 세밀한 자연묘사와 회화 전통을 보여주며 역사적 가치 강조",https://www.momat.go.jp/tickets,https://www.momat.go.jp/exhibitions/567,35.6692,139.7142,050-5541-8600,"월 휴관
10시~17시 
금,토 10시~ 20시",
,모리 마리코 전 (森万里子展),"첨단 미디어 아트와 영성, 우주·생명의 본질적 탐구를 주제로 한 개인전","이번 전시는 일본 현대미디어 아티스트 마리코 모리의 개인전으로, 자연과 우주, 생명 현상을 주제로 한 작품을 통해 철학적 사유와 감각적 장면을 제시한다. 전시는 빛과 소리, 대형 인터랙티브 설치, 영상 작업을 중심으로 구성되며, 관객이 작품과 직접 상호작용할 수 있는 몰입형 공간을 제공한다.

모리는 첨단 미디어 테크놀로지와 조형적 실험을 결합해 우주의 생성과 순환, 생명의 움직임을 시각적으로 번역해 왔다. 전시장 곳곳에 배치된 설치 작품들은 관람객의 움직임이나 주변 환경에 반응하며 시간과 공간의 흐름을 드러낸다. 이는 자연과 인공, 현실과 비현실의 경계가 융합되는 독자적 미학을 구축한다.

작가의 영상과 오브제는 우주적 차원의 질서와 인간 존재의 작은 흔적을 함께 보여주며, 생명의 신비와 우주의 고요한 리듬을 체험하도록 이끈다. 관람객은 빛과 음향이 결합된 공간 속에서 감각적으로 사유하고, 시간의 넓이와 깊이를 직관적으로 느끼게 된다.

이번 전시는 미래지향적 미디어아트의 가능성을 제시하는 동시에, 인간과 자연이 공유하는 보편적 질문을 예술적 언어로 풀어내며 현대미술의 정수를 보여준다.",森万里子,10/23/26,1/11/27,일본,도쿄,도쿄 국립근대미술관,"미디어/디지털 아트, 설치미술, 현대미술","공간 연출형, 몰입형, 미디어 아트","플랑드르 르네상스 성인화 회화 모음, 미술사적 전통과 신앙 문화 중심 전시",https://www.momat.go.jp/tickets,https://www.momat.go.jp/exhibitions/570,35.6692,139.7142,050-5541-8600,"월 휴관
10시~17시 
금,토 10시~ 20시",
,흐로닝어미술관・국립서양미술관 소장 플랑드르 성인전회화―100년후의 ‘재회’,17세기 플랑드르 성인전회화 걸작을 일본 최초 대규모 전시,"이번 전시는 17세기 플랑드르 화파가 남긴 성인 중심의 종교 회화를 본격적으로 조명한다. 가톨릭 교회가 종교개혁 이후 신앙적 정체성을 회복하고자 했던 역사적 맥락 속에서 제작된 성화들이 중심을 이루며, 화려한 색채와 극적인 명암 대비, 영적 내면을 강조한 바로크 회화의 미학을 선명하게 보여준다.

전시에는 플랑드르 바로크를 대표하는 작가들의 성인 초상과 신앙적 장면들이 포함되어 있으며, 경건함과 인간적 감정이 공존하는 화면 구성, 상징적 오브제의 활용, 성인 전승의 이야기 구조 등을 통해 당시 사회와 신앙의 변화를 읽을 수 있다. 작품들은 성인들이 수행한 덕목과 영적 실천을 시각적으로 재해석하며, 종교적 이미지가 공동체의 정신과 감정에 어떤 역할을 했는지 보여준다.

이번 전시는 흐로닝어미술관과 일본 국립서양미술관이 보유한 대표 성화를 모아 일본에서 처음으로 열리는 대규모 전시로, 유럽 미술사에서 중요한 위치를 차지하는 플랑드르 종교 회화를 한자리에서 감상할 수 있는 소중한 기회이다. 관람객은 성화 속 빛과 색채, 서사적 표현을 통해 당시 신앙 세계의 깊이와 예술적 성취를 함께 체감하게 된다.",다수 작가,10/25/25,5/10/26,일본,도쿄,국립서양미술관 본관,"역사/고전 미술, 회화",공간 연출형,"인상파 대표작 전시, 자연광과 일상의 순간적 인상을 공간적 맥락에서 체험",https://www.nmwa.go.jp/ko/visit/,https://www.nmwa.go.jp/ko/exhibitions/2025flemish.html,35.7179,139.7763,050-5541-8600,"월 휴관
월~목, 일 9시 30분~17시 30분
금, 토 9시 30분~20시","일반 500엔(400엔)
대학생 250엔(200엔)"
,오르세미술관 소장 인상파의 실내,오르세미술관 소장 인상파 및 후기 인상파 실내 공간 표현작품 집중전,"이번 전시는 오르세미술관이 소장한 인상파와 후기 인상파 작품들을 국립서양미술관에 대여하여 개최하는 특별 기획전으로, 19세기 프랑스 미술을 대표하는 걸작들을 한자리에서 감상할 수 있는 소중한 기회이다. 당시 화가들이 탐구했던 자연광의 변화, 일상의 순간, 사적 공간의 분위기 등을 회화적 언어로 새롭게 조명한다.

전시에는 피에르 오귀스트 르누아르를 비롯한 대표 작가들의 주요 작품이 포함되며, 빛과 색채의 미묘한 변화를 포착하려는 인상파 특유의 감각적 접근을 직접 확인할 수 있다. 화면을 구성하는 자유로운 붓질, 색채의 병치, 순간의 인상을 담아내는 구도 방식은 19세기 회화가 어떻게 전통적 재현 방식에서 벗어나 현대 미술의 출발점으로 확장되었는지를 보여준다.

자연 풍경, 실내 장면, 인물 표현 등 다양한 주제가 등장하며, 각각의 작품은 당시 도시 생활과 사회적 분위기, 새로운 감각 세계를 반영한다. 관람객은 회화 속 빛의 흔들림과 색의 떨림을 따라가며, 인상파 회화의 혁신성과 미적 감수성을 깊이 있게 체험하게 된다.

이번 전시는 19세기 프랑스 미술의 정수를 직접 마주할 수 있는 자리이자, 인상파가 미술사에 남긴 근본적 변화를 다시금 확인할 수 있는 중요한 기획이다.",다수 작가,10/25/25,2/15/26,일본,도쿄,국립서양미술관 기획전시실,"근대 미술, 회화",공간 연출형,"르네상스 대가 뒤러의 목판화 3대판화집 집중 전시, 기술과 예술성 조명",https://www.nmwa.go.jp/ko/visit/,https://www.nmwa.go.jp/ko/exhibitions/2025orsay.html,35.7179,139.7763,050-5541-8600,"월 휴관
월~목, 일 9시 30분~17시 30분
금, 토 9시 30분~20시","일반 500엔(400엔)
대학생 250엔(200엔)"
,이야기하는 검은 선들: 뒤러의「3대판화집」목판화,독일 르네상스 대표 작가 알브레히트 뒤러 회고전,"이번 전시는 르네상스 북부 독일을 대표하는 알브레히트 뒤러의 판화, 회화, 드로잉을 총망라한 대규모 회고전으로, 중세 말에서 르네상스로 넘어가는 전환기의 미술사적 의미를 폭넓게 탐구한다. 뒤러는 세밀한 관찰력과 과학적 정확성, 그리고 인간과 자연에 대한 깊은 관심을 바탕으로 북유럽 르네상스의 시각언어를 확립한 인물로 평가된다.
전시는 그의 대표 판화 연작과 정교한 회화, 드로잉을 중심으로 구성되며, 뒤러 특유의 인간학적 조형 감각과 자연주의적 묘사, 풍부한 상징성이 어떻게 결합되어 독창적인 미술 세계를 이루었는지를 보여준다. 선과 질감, 빛의 대비를 치밀하게 다루는 그의 기술적 완성도는 르네상스 예술의 지적 기반과 종교적 사유를 함께 드러낸다.
관람객은 이번 전시를 통해 뒤러의 예술이 유럽 미술사에서 차지하는 핵심적 위상을 다시 확인하고, 그의 작품이 남긴 영향이 일본의 미술 연구와 감상 문화 속에서 어떻게 재평가되는지를 경험하게 된다. 전시는 북유럽 르네상스의 시각적 성취를 세밀한 원본 작품을 통해 직접 마주할 수 있는 중요한 기회다.",알브레히트 뒤러,10/25/25,2/15/26,일본,도쿄,국립서양미술관 본관,"역사/고전 미술, 순수 미술",공간 연출형,"문자와 글자 탐구 테마 전시, 다매체 활용, 언어·사회의 관계 시각화",https://www.nmwa.go.jp/ko/visit/,https://www.nmwa.go.jp/ko/exhibitions/2025durer.html,35.7179,139.7763,050-5541-8600,"월 휴관
월~목, 일 9시 30분~17시 30분
금, 토 9시 30분~20시","일반 500엔(400엔)
대학생 250엔(200엔)"
,"SIDE CORE Living road, Living space 
살아있는 길, 살기 위한 장소(コレクション展)",일본 및 아시아 근현대 미술 대표작 모음 기획전,"이번 전시는 가나자와21세기미술관이 보유한 주요 소장품을 중심으로, 일본과 아시아 현대미술의 흐름과 변화를 시간의 축과 장르의 폭을 따라 입체적으로 조명한다. 회화, 조각, 영상, 설치 등 다양한 매체가 한 전시 안에서 구성되며, 동시대 시각문화가 어떠한 방식으로 확장되고 재해석되어 왔는지를 폭넓게 살펴볼 수 있다.

전시는 시대별로 중요한 흐름을 형성한 작가들의 대표작을 함께 배치해, 일본 현대미술의 고유한 감수성과 아시아 지역의 사회적·문화적 변화가 어떻게 예술적 언어로 변주되었는지를 탐구한다. 회화의 실험적 형식, 조각의 확장된 조형성, 영상과 설치의 몰입적 경험을 통해 관람객은 전통과 현대, 지역성과 글로벌 미술의 교차점을 자연스럽게 체감하게 된다.

가나자와21세기미술관의 큐레이션은 단순한 소장품 소개를 넘어, 동시대 예술의 흐름을 새롭게 해석하고 미술사적 지평을 넓히는 데 목적을 둔다. 이번 전시는 아시아 현대미술의 다양성과 잠재력을 확인할 수 있는 중요한 기회가 된다.",다수 작가,10/18/25,3/15/26,일본,가나자와,金沢21世紀美術館,"현대미술, 근대 미술",공간 연출형,"삶과 공간, 이동과 정체성 주제 탐구, 공간적 체험과 인터랙션 중점",https://www.kanazawa21.jp/ticket_en/,https://www.kanazawa21.jp/data_list.php?g=17&d=1828,36.5616,136.6562,81 76-220-2800,"월 휴관
화~일 10시~18시
","일반 450엔(360엔) 
대학생 310엔(240엔)"
,강강천 전시심음(リサーチプラクティス),"현대미술에서 관찰, 기록, 작동의 미학과 방법론을 탐구하는 기획전","이번 전시는 실험적이고 독창적인 방법론을 바탕으로 현대미술이 인간과 세계를 어떻게 새롭게 바라볼 수 있는지를 탐색하는 데 초점을 맞춘다. 참여 작가들은 관찰, 기록, 반복, 작동 같은 예술적 수행 방식을 확장된 미적 언어로 전환하며, 기존 감각 체계를 벗어난 새로운 인식의 가능성을 제안한다.

전시는 미디어 설치, 퍼포먼스, 영상, 인터랙티브 작업 등 다양한 기술과 형식을 아우르며, 관객이 직접 개입하고 경험할 수 있는 작품들이 중심을 이룬다. 움직임, 소리, 빛, 데이터 조작 등 감각적 요소는 관람 과정을 하나의 실험적 퍼포먼스로 전환하고, 관객은 작품의 일부로 동시 존재하는 경험을 누리게 된다.

이 전시는 현대미술이 지닌 실험성 자체를 하나의 주제로 다루며, 인간 인식의 경계, 기술과 신체의 관계, 세계를 이해하는 방식이 어떻게 재구성될 수 있는지를 다층적으로 탐구한다. 결과적으로 전시는 미술을 바라보는 관점을 확장하고, 새로운 감각적·철학적 사유를 열어주는 장으로서 의미를 갖는다.",다수 작가,10/18/25,3/22/26,일본,가나자와,金沢21世紀美術館,"현대미술, 설치미술","공간 연출형, 퍼포먼스","리서치 아트, 사회적 주제 관련 데이터 및 사물 활용한 설치 전시",https://www.kanazawa21.jp/ticket_en/,https://www.kanazawa21.jp/data_list.php?g=17&d=1833,36.5616,136.6562,81 76-220-2800,"월 휴관
화~일 10시~18시
","일반 450엔(360엔) 
대학생 310엔(240엔)"
,아펠트 20 츠노 아오라시 함께 없는 몸(インサイドアウト),"설치, 영상, 사운드 등 미술관 공간 내부와 외부 환경의 관계성 탐색 전시","이번 전시는 미술관이라는 공간 자체를 하나의 사유 대상이자 창작의 출발점으로 삼아, 내부와 외부, 개인과 사회, 공간과 기억의 관계를 다층적으로 탐구한다. 작가들은 건축 구조, 동선, 채광, 음향 등 공간의 물리적 요소와 관람자의 심리적·사회적 경험을 결합해, 미술관이 단순한 전시 장소를 넘어 서사와 의미가 생성되는 장이라는 점을 강조한다.

전시는 설치미술, 영상, 사운드, 퍼포먼스 등 여러 매체가 혼재된 형태로 구성되며, 관람객이 이동하는 과정 자체가 작품의 일부가 되는 구조를 통해 공간적 경험의 층위를 확장한다. 관객은 특정 지점에서 펼쳐지는 빛과 소리의 변화, 공간의 왜곡과 재구성, 미묘한 감각적 전환 등을 통해 내부와 외부의 경계가 흐려지는 순간을 체감하게 된다.

이 전시는 현대미술의 공간적 가능성을 새롭게 제시하며, 사회적·문화적 맥락 속에서 공간이 어떻게 기억되고 재해석되는지를 다양한 관점에서 보여준다. 공간 자체가 예술적 담론의 핵심이 되는 이번 전시는 관객의 감각과 인식을 확장시키는 깊은 몰입의 경험을 제공한다.",다수 작가,10/18/25,4/12/26,일본,가나자와,金沢21世紀美術館,"현대미술, 설치, 미디어/디지털 아트","공간 연출형, 사운드 기반, 몰입형","신체와 존재, 정체성 주제, 다감각적 설치 및 영상 매체 활용",https://www.kanazawa21.jp/ticket_en/,https://www.kanazawa21.jp/data_list.php?g=17&d=1837,36.5616,136.6562,81 76-220-2800,"월 휴관
화~일 10시~18시
","일반 450엔(360엔) 
대학생 310엔(240엔)"
